LoanID,PoolID,BorrowerID,ServicerID,ServicerName,OriginationChannel,OriginationDate,CutoffDate,MaturityDate,OriginalLoanAmount,OriginalTerm,RemainingTerm,MonthsOnBook,InterestRate,MonthlyEMI,LoanPurpose,CurrentBalance,ScheduledPaymentDue,LastPaymentAmount,LastPaymentDate,DelinquencyStatus,DelinquencyDays,TotalPaymentsDue,TotalPaymentsMade,Times30DPD_Last12M,Times60DPD_Last12M,Times90DPD_Last12M,VehicleMake,VehicleModel,VehicleYear,VehicleType,IsNewVehicle,OriginalVehicleValue,CurrentVehicleValue,LTV_AtOrigination,LTV_Current,BorrowerAge,EmploymentType,AnnualIncome_INR,DTI_Ratio,CIBIL_Score_Origination,CIBIL_Score_Current,Region,State,IFRS9_Stage,PD_Estimate,LGD_Estimate,EAD,ECL_Provision,IsDefaulted,IsModified,ModificationType,LossAmount,RecoveryAmount,NetLoss,PrepaymentAmount,InsuranceType,HasInsurance
ZAAUTO2024-1-00001,ZAAUTO2024-1,BOR-131244,SVC001,HDFC Bank Auto Finance,Direct,2024-08-02,2024-10-31,2031-06-27,782300.0,84,82,2,8.11,12236.01,New Vehicle Purchase,735638.03,12236.01,12089.09,2024-10-09,Current,0,2,2,0,0,0,Hyundai,Creta,2024,Sedan,True,912000.0,951973.78,0.8578,0.8265,27,Self-Employed,1394000.0,0.1053,804,757,Central,Madhya Pradesh,1,0.0224,0.4521,741356.86,7507.75,False,False,,0,0,0,0,Comprehensive,True
ZAAUTO2024-1-00002,ZAAUTO2024-1,BOR-748564,SVC003,Bajaj Finance Auto,Online,2024-05-21,2024-10-31,2027-05-06,772400.0,36,31,5,11.36,25419.27,New Vehicle Purchase,681358.32,25419.27,3322.86,2024-10-07,1-29 DPD,28,5,4,2,0,0,Kia,Seltos,2024,Compact SUV,True,837000.0,750579.91,0.9228,0.866,45,Self-Employed,3611000.0,0.0845,661,640,West,Maharashtra,1,0.0224,0.5551,683790.85,8502.42,False,False,,0,0,0,0,Comprehensive,True
ZAAUTO2024-1-00003,ZAAUTO2024-1,BOR-694731,SVC002,ICICI Auto Loans,Online,2024-08-03,2024-10-31,2029-07-08,333100.0,60,58,2,10.31,7128.31,New Vehicle Purchase,292993.88,7128.31,6880.84,2024-10-21,Current,0,2,2,0,0,0,Volkswagen,Taigun,2024,Hatchback,True,545000.0,562992.57,0.6112,0.5508,42,Self-Employed,3381000.0,0.0253,751,759,South,Andhra Pradesh,1,0.0166,0.6493,300458.28,3238.45,False,False,,0,0,0,0,Comprehensive,True
ZAAUTO2024-1-00004,ZAAUTO2024-1,BOR-855731,SVC003,Bajaj Finance Auto,Online,2023-05-15,2024-10-31,2030-04-08,1410200.0,84,67,17,13.53,26062.38,New Vehicle Purchase,1014259.22,26062.38,27153.07,2024-10-11,Current,0,17,17,0,0,0,Skoda,Kushaq,2023,Compact SUV,True,1796000.0,1426358.11,0.7852,0.7095,30,Business Owner,2097000.0,0.1491,725,730,South,Kerala,1,0.0241,0.5023,1024346.59,12400.16,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00005,ZAAUTO2024-1,BOR-897549,SVC003,Bajaj Finance Auto,Online,2021-08-18,2024-10-31,2024-08-02,1703600.0,36,0,38,12.62,57089.7,New Vehicle Purchase,0,57089.7,57397.54,2024-10-17,Current,0,38,38,0,0,0,Toyota,Glanza,2021,Sedan,True,1829000.0,896909.34,0.9314,0.0,59,Self-Employed,903000.0,0.7587,771,791,South,Andhra Pradesh,1,0.0193,0.5053,0.0,0.0,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00006,ZAAUTO2024-1,BOR-698782,SVC003,Bajaj Finance Auto,Dealer,2024-07-16,2024-10-31,2031-06-10,472100.0,84,81,3,8.43,7459.8,Used Vehicle Purchase,472100.0,7459.8,7421.47,2024-10-04,Current,0,3,3,0,0,0,Maruti Suzuki,Ertiga,2023,SUV,False,566000.0,511084.7,0.8341,0.8652,58,Professional,1442000.0,0.0621,771,773,South,Karnataka,1,0.0147,0.5685,490997.99,4103.25,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00007,ZAAUTO2024-1,BOR-890170,SVC003,Bajaj Finance Auto,DSA,2023-08-06,2024-10-31,2030-06-30,669200.0,84,70,14,13.35,12301.76,New Vehicle Purchase,582956.54,12301.76,12072.46,2024-10-28,Current,0,14,14,0,0,0,Mahindra,Scorpio,2023,Compact SUV,True,808000.0,683573.78,0.8283,0.8672,38,Self-Employed,2210000.0,0.0668,773,750,East,West Bengal,1,0.0159,0.439,611192.31,4266.18,False,False,,0,0,0,0,Nil,True
ZAAUTO2024-1-00008,ZAAUTO2024-1,BOR-358175,SVC001,HDFC Bank Auto Finance,Dealer,2023-10-27,2024-10-31,2029-09-25,348700.0,72,60,12,8.34,6171.89,Used Vehicle Purchase,300330.4,6171.89,654.01,2024-10-09,60-89 DPD,82,12,9,2,1,1,Volkswagen,Taigun,2018,Hatchback,False,559000.0,514953.01,0.6238,0.6276,60,Salaried,1490000.0,0.0497,799,821,Central,Chhattisgarh,2,0.117,0.6495,315288.3,23959.23,False,False,,0,0,0,0,Third Party,True
ZAAUTO2024-1-00009,ZAAUTO2024-1,BOR-413921,SVC001,HDFC Bank Auto Finance,Dealer,2022-05-16,2024-10-31,2029-04-09,1200000.0,84,55,29,7.55,18435.56,New Vehicle Purchase,803444.42,18435.56,17811.67,2024-10-03,Current,0,29,29,0,0,0,Toyota,Glanza,2022,Compact SUV,True,1474000.0,970981.47,0.8141,0.836,30,Self-Employed,1543000.0,0.1434,677,697,South,Andhra Pradesh,1,0.0216,0.5988,805215.48,10414.72,False,False,,0,0,0,0,Third Party,True
ZAAUTO2024-1-00010,ZAAUTO2024-1,BOR-934794,SVC002,ICICI Auto Loans,DSA,2023-05-26,2024-10-31,2027-05-05,358600.0,48,31,17,7.79,8719.17,Refinance,221104.02,8719.17,754.0,2024-10-29,120+ DPD,180,17,14,3,0,0,Volkswagen,Taigun,2021,Compact SUV,False,452000.0,385595.8,0.7934,0.6145,25,Business Owner,1698000.0,0.0616,676,671,Central,Chhattisgarh,3,1.0,0.6092,230067.02,140156.83,False,False,,0,0,0,0,Nil,False
