SnapshotDate,LoanID,PoolID,DPD_Days,DPD_Bucket,DPD_Bucket_Prior,CurrentBalance,AmountOverdue,EMIsOverdue,LastPaymentDate,LastPaymentAmount,CureFlag,RollFlag,RepossessionFlag,WriteOffFlag,RBI_SMA_Class,ConsecutiveMonthsDelinquent,TransitionType
2023-12-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,782300.0,0,0,2023-12-29,12042.52,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,782300.0,0,0,2023-12-27,11782.4,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,782300.0,0,0,2024-02-11,12498.04,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,782300.0,0,0,2024-03-20,12293.78,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,782300.0,0,0,2024-04-21,11407.6,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,782300.0,0,0,2024-05-24,11182.63,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,782162.94,0,0,2024-05-08,12120.49,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,782300.0,0,0,2024-06-01,11996.6,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,782300.0,0,0,2024-07-06,11157.04,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,759239.74,0,0,2024-08-07,12072.08,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,770041.54,0,0,2024-09-28,12226.09,False,Same,False,False,Standard,0,Static
2024-10-30,ZAAUTO2024-1-00001,ZAAUTO2024-1,0,Current,Current,761953.43,0,0,2024-10-25,12582.26,False,Same,False,False,Standard,0,Static
2023-12-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,772400.0,0,0,2023-12-15,23500.38,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,772400.0,0,0,2023-12-26,23714.71,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,772400.0,0,0,2024-02-25,23750.68,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,768613.8,0,0,2024-03-10,24406.94,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,759479.45,0,0,2024-04-10,23688.06,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,772184.02,0,0,2024-05-01,23422.1,False,Same,False,False,Standard,0,Static
2024-05-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,741329.53,0,0,2024-04-25,24932.4,False,Same,False,False,Standard,0,Static
2024-06-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,762557.0,0,0,2024-06-03,26300.64,False,Same,False,False,Standard,0,Static
2024-07-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,732713.54,0,0,2024-07-16,26680.04,False,Same,False,False,Standard,0,Static
2024-08-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,0,Current,Current,707902.65,0,0,2024-07-30,23223.97,False,Same,False,False,Standard,0,Static
2024-09-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,2,1-29 DPD,Current,733517.83,25419.27,1,2024-09-21,9569.53,False,Worse,False,False,SMA-0,1,Roll
2024-10-30,ZAAUTO2024-1-00002,ZAAUTO2024-1,26,1-29 DPD,1-29 DPD,712779.34,25419.27,1,2024-10-26,5868.3,False,Same,False,False,SMA-0,2,Static
2023-12-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,333100.0,0,0,2023-12-20,6900.62,False,Same,False,False,Standard,0,Static
2024-01-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,333100.0,0,0,2024-01-14,7454.67,False,Same,False,False,Standard,0,Static
2024-02-28,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,333100.0,0,0,2024-01-27,7391.3,False,Same,False,False,Standard,0,Static
2024-03-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,333100.0,0,0,2024-03-11,7315.43,False,Same,False,False,Standard,0,Static
2024-04-30,ZAAUTO2024-1-00003,ZAAUTO2024-1,0,Current,Current,333100.0,0,0,2024-04-18,6578.9,False,Same,False,False,Standard,0,Static
